Google trends of bitcoin,
May-13,3
Jun-13,2
Jul-13,2
Aug-13,2
Sep-13,2
Oct-13,3
Nov-13,10
Dec-13,12
Jan-14,8
Feb-14,9
Mar-14,6
Apr-14,4
May-14,3
Jun-14,3
Jul-14,3
Aug-14,3
Sep-14,3
Oct-14,3
Nov-14,3
Dec-14,3
Jan-15,3
Feb-15,3
Mar-15,3
Apr-15,2
May-15,2
Jun-15,2
Jul-15,3
Aug-15,3
Sep-15,2
Oct-15,3
Nov-15,3
Dec-15,4
Jan-16,3
Feb-16,3
Mar-16,3
Apr-16,3
May-16,4
Jun-16,5
Jul-16,3
Aug-16,3
Sep-16,3
Oct-16,3
Nov-16,4
Dec-16,4
Jan-17,7
Feb-17,6
Mar-17,7
Apr-17,6
May-17,15
Jun-17,14
Jul-17,13
Aug-17,20
Sep-17,22
Oct-17,22
Nov-17,44
Dec-17,100
Jan-18,57
Feb-18,41
Mar-18,24
Apr-18,19
May-18,15
Jun-18,13
Jul-18,13
Aug-18,13
Sep-18,12
Oct-18,10
Nov-18,14
Dec-18,13
Jan-19,10
Feb-19,10
Mar-19,8
Apr-19,13
May-19,17
Jun-19,21
Jul-19,19
Aug-19,16
Sep-19,13
Oct-19,13
Nov-19,12
Dec-19,11
Jan-20,13
Feb-20,14
Mar-20,20
Apr-20,16
May-20,20
Jun-20,14
Jul-20,15
Aug-20,16
Sep-20,13
Oct-20,14
Nov-20,24
Dec-20,31
Jan-21,65
Feb-21,68
Mar-21,48
Apr-21,52
May-21,66
Jun-21,43
Jul-21,31
Aug-21,32
Sep-21,32
Oct-21,38
Nov-21,34
Dec-21,35
Jan-22,43
Feb-22,36
Mar-22,31
Apr-22,23
May-22,37
Jun-22,43
Jul-22,31
Aug-22,22
Sep-22,21
Oct-22,16
Nov-22,26
Dec-22,18
Jan-23,21
Feb-23,19
Mar-23,23
Apr-23,21
