DATE,Money Supply
2023/4/1,20712.1
2023/3/1,20876.1
2023/2/1,21100.7
2023/1/1,21221.8
2022/12/1,21357.6
2022/11/1,21398.7
2022/10/1,21432.7
2022/9/1,21525.2
2022/8/1,21659.9
2022/7/1,21703.6
2022/6/1,21666.4
2022/5/1,21665.5
2022/4/1,21677.2
2022/3/1,21697.5
2022/2/1,21570.4
2022/1/1,21561.9
2021/12/1,21549.2
2021/11/1,21316.3
2021/10/1,21116.3
2021/9/1,20964.3
2021/8/1,20847.8
2021/7/1,20663.0
2021/6/1,20506.5
2021/5/1,20431.1
2021/4/1,20116.9
2021/3/1,19841.0
2021/2/1,19600.4
2021/1/1,19356.9
2020/12/1,19114.4
2020/11/1,18949.3
2020/10/1,18729.1
2020/9/1,18577.3
2020/8/1,18346.0
2020/7/1,18286.3
2020/6/1,18131.7
2020/5/1,17851.1
2020/4/1,16997.6
2020/3/1,15978.7
2020/2/1,15450.3
2020/1/1,15396.0
2019/12/1,15320.7
2019/11/1,15242.2
2019/10/1,15140.8
2019/9/1,15008.1
2019/8/1,14914.6
2019/7/1,14840.6
2019/6/1,14757.7
2019/5/1,14643.2
2019/4/1,14541.0
2019/3/1,14509.9
2019/2/1,14469.9
2019/1/1,14430.0
2018/12/1,14362.7
2018/11/1,14236.8
2018/10/1,14222.5
2018/9/1,14212.9
2018/8/1,14181.3
2018/7/1,14139.2
2018/6/1,14103.6
2018/5/1,14047.2
2018/4/1,13988.8
2018/3/1,13970.2
2018/2/1,13912.3
2018/1/1,13869.7
2017/12/1,13857.9
2017/11/1,13799.9
2017/10/1,13770.1
2017/9/1,13717.9
2017/8/1,13673.7
2017/7/1,13618.7
2017/6/1,13559.2
2017/5/1,13538.1
2017/4/1,13484.9
2017/3/1,13426.9
2017/2/1,13358.8
2017/1/1,13283.4
2016/12/1,13213.4
2016/11/1,13173.4
2016/10/1,13100.5
2016/9/1,13033.6
2016/8/1,12972.8
2016/7/1,12887.7
2016/6/1,12829.4
2016/5/1,12766.2
2016/4/1,12700.4
2016/3/1,12616.7
2016/2/1,12556.7
2016/1/1,12469.9
2015/12/1,12346.8
2015/11/1,12284.6
2015/10/1,12195.9
2015/9/1,12160.8
2015/8/1,12101.9
2015/7/1,12051.3
2015/6/1,12001.7
2015/5/1,11957.9
2015/4/1,11928.9
2015/3/1,11886.8
2015/2/1,11879.0
2015/1/1,11745.6
2014/12/1,11684.9
2014/11/1,11604.8
2014/10/1,11566.0
2014/9/1,11499.8
2014/8/1,11458.9
2014/7/1,11429.9
2014/6/1,11374.9
2014/5/1,11321.0
2014/4/1,11257.7
2014/3/1,11208.1
2014/2/1,11178.8
2014/1/1,11080.8
2013/12/1,11035.0
2013/11/1,10969.7
2013/10/1,10961.6
2013/9/1,10837.2
2013/8/1,10776.6
2013/7/1,10718.4
2013/6/1,10678.7
2013/5/1,10621.0
2013/4/1,10586.3
