DATE,PPI
2023/4/1,256.908
2023/3/1,257.062
2023/2/1,258.669
2023/1/1,260.227
2022/12/1,257.897
2022/11/1,263.157
2022/10/1,265.061
2022/9/1,267.898
2022/8/1,269.546
2022/7/1,272.274
2022/6/1,280.251
2022/5/1,273.251
2022/4/1,265.31
2022/3/1,260.014
2022/2/1,252.66
2022/1/1,246.453
2021/12/1,241.338
2021/11/1,243.287
2021/10/1,240.465
2021/9/1,235.678
2021/8/1,233.415
2021/7/1,231.85
2021/6/1,228.9
2021/5/1,224.9
2021/4/1,217.9
2021/3/1,215.0
2021/2/1,210.6
2021/1/1,204.8
2020/12/1,200.5
2020/11/1,198.3
2020/10/1,196.5
2020/9/1,195.5
2020/8/1,194.3
2020/7/1,193.0
2020/6/1,191.2
2020/5/1,188.6
2020/4/1,185.5
2020/3/1,193.1
2020/2/1,196.7
2020/1/1,199.3
2019/12/1,199.0
2019/11/1,199.0
2019/10/1,198.6
2019/9/1,198.4
2019/8/1,199.2
2019/7/1,200.7
2019/6/1,200.3
2019/5/1,201.7
2019/4/1,202.1
2019/3/1,200.8
2019/2/1,199.2
2019/1/1,199.1
2018/12/1,201.0
2018/11/1,202.3
2018/10/1,204.6
2018/9/1,203.6
2018/8/1,203.4
2018/7/1,204.3
2018/6/1,204.2
2018/5/1,203.2
2018/4/1,200.3
2018/3/1,199.3
2018/2/1,199.3
2018/1/1,197.9
2017/12/1,196.3
2017/11/1,195.9
2017/10/1,194.9
2017/9/1,194.8
2017/8/1,193.8
2017/7/1,193.5
2017/6/1,193.6
2017/5/1,192.8
2017/4/1,193.0
2017/3/1,191.5
2017/2/1,191.6
2017/1/1,190.7
2016/12/1,188.2
2016/11/1,186.3
2016/10/1,186.7
2016/9/1,186.9
2016/8/1,186.6
2016/7/1,187.7
2016/6/1,187.6
2016/5/1,185.3
2016/4/1,183.2
2016/3/1,182.1
2016/2/1,181.3
2016/1/1,182.6
2015/12/1,183.5
2015/11/1,185.7
2015/10/1,187.5
2015/9/1,189.1
2015/8/1,191.9
2015/7/1,193.9
2015/6/1,194.8
2015/5/1,193.4
2015/4/1,190.9
2015/3/1,191.5
2015/2/1,191.1
2015/1/1,192.0
2014/12/1,197.0
2014/11/1,200.9
2014/10/1,203.4
2014/9/1,206.4
2014/8/1,207.0
2014/7/1,208.0
2014/6/1,208.3
2014/5/1,208.0
2014/4/1,208.3
2014/3/1,207.0
2014/2/1,205.7
2014/1/1,203.8
2013/12/1,202.0
2013/11/1,201.2
2013/10/1,202.5
2013/9/1,203.9
2013/8/1,204.2
2013/7/1,204.4
2013/6/1,204.3
2013/5/1,204.1
2013/4/1,203.5
